cocktail,tx,target,ddCq
tx,compoundStim,GENE1,1.0018053248362737
tx,compoundVeh,GENE1,2.3521923808792033
veh,compoundStim,GENE1,0.997068853638639
veh,compoundVeh,GENE1,0.9086860996839695
tx,compoundStim,GENE2,1.8787528009579577
tx,compoundVeh,GENE2,3.1062212312655464
veh,compoundStim,GENE2,2.292073058665564
veh,compoundVeh,GENE2,1.9779205617367002
tx,compoundStim,GENE3,0.33227505977566896
tx,compoundVeh,GENE3,0.8290834665595004
veh,compoundStim,GENE3,0.0947830844218227
veh,compoundVeh,GENE3,0.08509145812562423
tx,compoundStim,GENE4,0.3132042501282415
tx,compoundVeh,GENE4,0.7894018580047742
veh,compoundStim,GENE4,0.36866555382846855
veh,compoundVeh,GENE4,0.2862224430329434
tx,compoundStim,GENE5,2.0275149538254333
tx,compoundVeh,GENE5,4.483864029684078
veh,compoundStim,GENE5,0.8584164630215906
veh,compoundVeh,GENE5,0.8379027764898208
tx,compoundStim,GENE6,0.19922904168588224
tx,compoundVeh,GENE6,0.4764325212708994
veh,compoundStim,GENE6,0.6028555102985222
veh,compoundVeh,GENE6,0.5810053063470684
tx,compoundStim,GENE8,0.6037053787080496
tx,compoundVeh,GENE8,1.3662428539609754
veh,compoundStim,GENE8,0.30476185885124435
veh,compoundVeh,GENE8,0.20208709131896407
